2023-07-20 20:35:04.0152|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-07-20 20:35:04.0313|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-07-20 20:35:04.0313|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Adam\Desktop\Programowanie\BudgetAPI\BudgetAPI\ |url: |action: 
2023-07-20 20:35:16.7257|0|ERROR|BudgetAPI.Middleware.RequestTimeMiddleware|Request Method GET at /swagger/index.html took 12637  milliseconds |url: https://localhost/swagger/index.html|action: 
2023-07-20 20:40:22.7110|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-07-20 20:40:22.7173|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-07-20 20:40:22.7173|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Adam\Desktop\Programowanie\BudgetAPI\BudgetAPI\ |url: |action: 
2023-07-20 21:24:56.4904|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-07-20 21:24:56.4904|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-07-20 21:24:56.4972|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Adam\Desktop\Programowanie\BudgetAPI\BudgetAPI\ |url: |action: 
2023-07-20 21:42:06.5606|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-07-20 21:42:06.5606|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-07-20 21:42:06.5606|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Adam\Desktop\Programowanie\BudgetAPI\BudgetAPI\ |url: |action: 
2023-07-20 21:44:25.8699|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-07-20 21:44:25.8777|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-07-20 21:44:25.8777|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Adam\Desktop\Programowanie\BudgetAPI\BudgetAPI\ |url: |action: 
2023-07-20 21:50:35.2167|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-07-20 21:50:35.2167|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-07-20 21:50:35.2167|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Adam\Desktop\Programowanie\BudgetAPI\BudgetAPI\ |url: |action: 
2023-07-20 21:53:29.6907|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-07-20 21:53:29.6907|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-07-20 21:53:29.6907|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Adam\Desktop\Programowanie\BudgetAPI\BudgetAPI\ |url: |action: 
2023-07-20 22:07:18.9127|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-07-20 22:07:18.9127|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-07-20 22:07:18.9127|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\Adam\Desktop\Programowanie\BudgetAPI\BudgetAPI\ |url: |action: 
